"Protein-coding genes:"
  external_gene_name   gene_biotype
242             ZNF827 protein_coding
243           ARHGAP17 protein_coding
244             LRRC8D protein_coding
245               NTN1 protein_coding
246               TNIK protein_coding
247           SLC25A22 protein_coding
248                BLK protein_coding
249            FAM167A protein_coding
250              MTMR9 protein_coding
251               XKR6 protein_coding
252            NEURL1B protein_coding
253              TRPM7 protein_coding
254                AGL protein_coding
255              TNNT3 protein_coding
256              CD151 protein_coding
257               ELF1 protein_coding
258              CCBE1 protein_coding
259               BPGM protein_coding
260              ESRP2 protein_coding
261               PRR4 protein_coding
262             CCDC60 protein_coding
263             ZNF326 protein_coding
264               NEK3 protein_coding
265              KCNQ1 protein_coding
266               UCK1 protein_coding
267              TRPS1 protein_coding
268             NAP1L4 protein_coding
269              ISOC2 protein_coding
270               PTK7 protein_coding
271             SQSTM1 protein_coding
274               DPM2 protein_coding
275              MACC1 protein_coding
276           SLC22A18 protein_coding
277               GRK6 protein_coding
278               HRH3 protein_coding
279             DAZAP1 protein_coding
280              SVOPL protein_coding
281                SRF protein_coding
282            POLDIP3 protein_coding
283           SERPINB8 protein_coding
284             LYSMD1 protein_coding
285                CD2 protein_coding
286              ARMC5 protein_coding
288              VIPR2 protein_coding
289               PAK1 protein_coding
290             GTF3C6 protein_coding
291              ASCL1 protein_coding
292            TBC1D9B protein_coding
293                HGD protein_coding
294            CCNDBP1 protein_coding
295               RDH8 protein_coding
296            HNRNPH1 protein_coding
297             TRIM69 protein_coding
299              RPH3A protein_coding
300              MATR3 protein_coding
301                B2M protein_coding
302              CCNA2 protein_coding
303               BBS7 protein_coding
304            GAL3ST4 protein_coding
305             MAPK15 protein_coding
306               CDK6 protein_coding
307              CDH23 protein_coding
308             MRPS34 protein_coding
309           KIAA1549 protein_coding
310             SECTM1 protein_coding
311            ZFYVE21 protein_coding
312                GK5 protein_coding
313               CES1 protein_coding
314               PPIF protein_coding
315             RNF111 protein_coding
316              EPPK1 protein_coding
317              OTUB2 protein_coding
318              OGDHL protein_coding
319              TANC1 protein_coding
320              FKBP5 protein_coding
321             LGALS1 protein_coding
322              WDR81 protein_coding
323             LRRC56 protein_coding
324             RPH3AL protein_coding
325               BATF protein_coding
326              TRPC7 protein_coding
327              CORO7 protein_coding
328             SEC31B protein_coding
329            CCDC137 protein_coding
330              PRPF8 protein_coding
331            ANKRD44 protein_coding
332               MAPT protein_coding
333              ADAM8 protein_coding
334                LTB protein_coding
335               RPN1 protein_coding
336               SPG7 protein_coding
337               TBX5 protein_coding
338             SNCAIP protein_coding
339               RGS5 protein_coding
341               MEST protein_coding
342              PRPF6 protein_coding
343              CRYGB protein_coding
344            PLEKHA2 protein_coding
345             KIF26B protein_coding
347               FEN1 protein_coding
348            TRPC4AP protein_coding
349               MSI2 protein_coding
350              TADA1 protein_coding
351               DHX9 protein_coding
352             CUEDC1 protein_coding
353            SULT2B1 protein_coding
354             NOTCH1 protein_coding
355             PPP3R1 protein_coding
356               HFM1 protein_coding
357               XPO6 protein_coding
358           PHOSPHO1 protein_coding
359              MTFMT protein_coding
360              EWSR1 protein_coding
361            TMEM45A protein_coding
362              KLF13 protein_coding
363              SARM1 protein_coding
364            SLC46A1 protein_coding
365              FOXN3 protein_coding
366              FKBP2 protein_coding
367              IGF2R protein_coding
368              DYRK2 protein_coding
369               EBF3 protein_coding
370            SLC22A1 protein_coding
371              CPEB1 protein_coding
372              MLLT6 protein_coding
373              VLDLR protein_coding
374             EIF4G1 protein_coding
375             NOS1AP protein_coding
376         CSGALNACT2 protein_coding
377              HLA-E protein_coding
378              CPT1A protein_coding
379              RAB34 protein_coding
380             NUP133 protein_coding
381             CCDC93 protein_coding
382             ADAM12 protein_coding
383              FGF17 protein_coding
384            FAM135A protein_coding
385              REEP4 protein_coding
386             SEMA4D protein_coding
387              CISD3 protein_coding
388               BMP1 protein_coding
389              ITPKA protein_coding
390             HNRNPF protein_coding
391             SH3GL1 protein_coding
392               TLX1 protein_coding
393             CALHM3 protein_coding
394              SCRN1 protein_coding
395            FAM131A protein_coding
396            SH3BP5L protein_coding
397              WNT2B protein_coding
398             TM9SF4 protein_coding
399               CDC7 protein_coding
400              SMYD3 protein_coding
401               TSR1 protein_coding
402              KCNT1 protein_coding
403               ATL3 protein_coding
404                LUM protein_coding
405               E2F4 protein_coding
406             NFE2L3 protein_coding
407              WDR48 protein_coding
409              ABCC1 protein_coding
410           HLA-DQB2 protein_coding
411              PTH1R protein_coding
412             TIMM44 protein_coding
413            JAKMIP3 protein_coding
414               COG8 protein_coding
415              TTLL9 protein_coding
